onset_div	duration_div	pitch	step	alter	ts_beats	ts_beat_type	staff	voice	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	octave
861	3	63	E	-1	2	2	1	1	37	36	37	36a	287/2	1/8	4
864	6	49	D	-1	2	2	2	1	37	36	37	36a	144	1/4	3
864	3	65	F	0	2	2	1	1	37	36	37	36a	144	1/8	4
867	3	63	E	-1	2	2	1	1	37	36	37	36a	289/2	1/8	4
870	6	36	C	0	2	2	2	1	38	37	38	37a	145	1/4	2
873	3	80	A	-1	2	2	1	1	38	37	38	37a	291/2	1/8	5
876	12	39	E	-1	2	2	2	1	38	37	38	37a	146	1/2	2
876	3	89	F	0	2	2	1	1	38	37	38	37a	146	1/8	6
879	3	87	E	-1	2	2	1	1	38	37	38	37a	293/2	1/8	6
882	3	85	D	-1	2	2	1	1	38	37	38	37a	147	1/8	6
885	3	84	C	0	2	2	1	1	38	37	38	37a	295/2	1/8	6
888	6	44	A	-1	2	2	2	1	38	37	38	37a	148	1/4	2
888	3	82	B	-1	2	2	1	1	38	37	38	37a	148	1/8	5
891	3	80	A	-1	2	2	1	1	38	37	38	37a	297/2	1/8	5
894	6	37	D	-1	2	2	2	1	39	38	39	38a	149	1/4	2
894	3	79	G	0	2	2	1	1	39	38	39	38a	149	1/8	5
897	3	77	F	0	2	2	1	1	39	38	39	38a	299/2	1/8	5
900	12	41	F	0	2	2	2	1	39	38	39	38a	150	1/2	2
900	3	75	E	-1	2	2	1	1	39	38	39	38a	150	1/8	5
903	3	73	D	-1	2	2	1	1	39	38	39	38a	301/2	1/8	5
906	3	72	C	0	2	2	1	1	39	38	39	38a	151	1/8	5
909	3	70	B	-1	2	2	1	1	39	38	39	38a	303/2	1/8	4
912	6	46	B	-1	2	2	2	1	39	38	39	38a	152	1/4	2
912	3	68	A	-1	2	2	1	1	39	38	39	38a	152	1/8	4
915	3	67	G	0	2	2	1	1	39	38	39	38a	305/2	1/8	4
918	6	39	E	-1	2	2	2	1	40	39	40	39a	153	1/4	2
918	3	65	F	0	2	2	1	1	40	39	40	39a	153	1/8	4
921	3	63	E	-1	2	2	1	1	40	39	40	39a	307/2	1/8	4
924	12	44	A	-1	2	2	2	1	40	39	40	39a	154	1/2	2
924	3	61	D	-1	2	2	1	1	40	39	40	39a	154	1/8	4
927	3	60	C	0	2	2	1	1	40	39	40	39a	309/2	1/8	4
930	3	58	B	-1	2	2	1	1	40	39	40	39a	155	1/8	3
933	3	56	A	-1	2	2	1	1	40	39	40	39a	311/2	1/8	3
936	6	48	C	0	2	2	2	1	40	39	40	39a	156	1/4	3
936	3	55	G	0	2	2	1	1	40	39	40	39a	156	1/8	3
939	3	53	F	0	2	2	1	1	40	39	40	39a	313/2	1/8	3
942	6	49	D	-1	2	2	2	1	41	40	41	40a	157	1/4	3
942	3	51	E	-1	2	2	1	1	41	40	41	40a	157	1/8	3
945	3	53	F	0	2	2	1	1	41	40	41	40a	315/2	1/8	3
948	6	46	B	-1	2	2	2	1	41	40	41	40a	158	1/4	2
948	3	55	G	0	2	2	1	1	41	40	41	40a	158	1/8	3
951	3	56	A	-1	2	2	1	1	41	40	41	40a	317/2	1/8	3
954	6	43	G	0	2	2	2	1	41	40	41	40a	159	1/4	2
954	3	58	B	-1	2	2	1	1	41	40	41	40a	159	1/8	3
957	3	60	C	0	2	2	1	1	41	40	41	40a	319/2	1/8	4
960	6	39	E	-1	2	2	2	1	41	40	41	40a	160	1/4	2
960	3	61	D	-1	2	2	1	1	41	40	41	40a	160	1/8	4
963	3	58	B	-1	2	2	1	1	41	40	41	40a	321/2	1/8	3
966	6	44	A	-1	2	2	2	1	42	41	42	41a	161	1/4	2
966	6	56	A	-1	2	2	1	1	42	41	42	41a	161	1/4	3
972	6	56	A	-1	2	2	2	1	42	41	42	41a	162	1/4	3
978	0	62	D	0	2	2	1	1	42	41	42	41a	163	0	4
978	9	71	C	-1	2	2	1	1	42	41	42	41a	163	3/8	5
984	6	50	D	0	2	2	2	1	42	41	42	41a	164	1/4	3
984	6	53	F	0	2	2	2	1	42	41	42	41a	164	1/4	3
984	6	56	A	-1	2	2	2	1	42	41	42	41a	164	1/4	3
984	6	59	C	-1	2	2	2	1	42	41	42	41a	164	1/4	4
987	3	70	B	-1	2	2	1	1	42	41	42	41a	329/2	1/8	4
990	12	68	A	-1	2	2	1	1	43	42	43	42a	165	1/2	4
996	6	51	E	-1	2	2	2	1	43	42	43	42a	166	1/4	3
996	6	56	A	-1	2	2	2	1	43	42	43	42a	166	1/4	3
996	6	60	C	0	2	2	2	1	43	42	43	42a	166	1/4	4
1002	9	67	G	0	2	2	1	1	43	42	43	42a	167	3/8	4
1008	6	51	E	-1	2	2	2	1	43	42	43	42a	168	1/4	3
1008	6	58	B	-1	2	2	2	1	43	42	43	42a	168	1/4	3
1008	6	61	D	-1	2	2	2	1	43	42	43	42a	168	1/4	4
1011	3	75	E	-1	2	2	1	1	43	42	43	42a	337/2	1/8	5
1014	6	75	E	-1	2	2	1	1	44	43	44	43a	169	1/4	5
1020	6	56	A	-1	2	2	2	1	44	43	44	43a	170	1/4	3
1020	6	60	C	0	2	2	2	1	44	43	44	43a	170	1/4	4
1020	6	68	A	-1	2	2	1	1	44	43	44	43a	170	1/4	4
1026	0	62	D	0	2	2	1	1	44	43	44	43a	171	0	4
1026	9	71	C	-1	2	2	1	1	44	43	44	43a	171	3/8	5
1032	6	50	D	0	2	2	2	1	44	43	44	43a	172	1/4	3
1032	6	53	F	0	2	2	2	1	44	43	44	43a	172	1/4	3
1032	6	56	A	-1	2	2	2	1	44	43	44	43a	172	1/4	3
1032	6	59	C	-1	2	2	2	1	44	43	44	43a	172	1/4	4
1035	3	70	B	-1	2	2	1	1	44	43	44	43a	345/2	1/8	4
1038	12	68	A	-1	2	2	1	1	45	44	45	44a	173	1/2	4
1044	6	51	E	-1	2	2	2	1	45	44	45	44a	174	1/4	3
1044	6	56	A	-1	2	2	2	1	45	44	45	44a	174	1/4	3
1044	6	60	C	0	2	2	2	1	45	44	45	44a	174	1/4	4
1050	9	67	G	0	2	2	1	1	45	44	45	44a	175	3/8	4
1056	6	51	E	-1	2	2	2	1	45	44	45	44a	176	1/4	3
1056	6	58	B	-1	2	2	2	1	45	44	45	44a	176	1/4	3
1056	6	61	D	-1	2	2	2	1	45	44	45	44a	176	1/4	4
1059	3	75	E	-1	2	2	1	1	45	44	45	44a	353/2	1/8	5
1062	6	75	E	-1	2	2	1	1	46	45	46	45a	177	1/4	5
1068	6	56	A	-1	2	2	2	1	46	45	46	45a	178	1/4	3
1068	6	60	C	0	2	2	2	1	46	45	46	45a	178	1/4	4
1068	6	68	A	-1	2	2	1	1	46	45	46	45a	178	1/4	4
1074	0	74	D	0	2	2	1	1	46	45	46	45a	179	0	5
1074	9	83	C	-1	2	2	1	1	46	45	46	45a	179	3/8	6
1080	6	62	D	0	2	2	2	1	46	45	46	45a	180	1/4	4
1080	6	65	F	0	2	2	2	1	46	45	46	45a	180	1/4	4
1080	6	68	A	-1	2	2	2	1	46	45	46	45a	180	1/4	4
1080	6	71	C	-1	2	2	2	1	46	45	46	45a	180	1/4	5
1083	3	82	B	-1	2	2	1	1	46	45	46	45a	361/2	1/8	5
1086	12	80	A	-1	2	2	1	1	47	46	47	46a	181	1/2	5
1092	6	63	E	-1	2	2	2	1	47	46	47	46a	182	1/4	4
1092	6	68	A	-1	2	2	2	1	47	46	47	46a	182	1/4	4
1092	6	72	C	0	2	2	2	1	47	46	47	46a	182	1/4	5
1098	9	79	G	0	2	2	1	1	47	46	47	46a	183	3/8	5
1104	6	63	E	-1	2	2	2	1	47	46	47	46a	184	1/4	4
1104	6	70	B	-1	2	2	2	1	47	46	47	46a	184	1/4	4
1104	6	73	D	-1	2	2	2	1	47	46	47	46a	184	1/4	5
1107	3	87	E	-1	2	2	1	1	47	46	47	46a	369/2	1/8	6
1110	24	56	A	-1	2	2	2	1	48	47	48	47a	185	1	3
1110	24	58	B	-1	2	2	2	1	48	47	48	47a	185	1	3
1110	24	61	D	-1	2	2	2	1	48	47	48	47a	185	1	4
1110	24	63	E	-1	2	2	2	1	48	47	48	47a	185	1	4
1110	24	67	G	0	2	2	2	1	48	47	48	47a	185	1	4
1110	24	73	D	-1	2	2	1	1	48	47	48	47a	185	1	5
1110	24	79	G	0	2	2	1	1	48	47	48	47a	185	1	5
1110	24	87	E	-1	2	2	1	1	48	47	48	47a	185	1	6
1134	6	56	A	-1	2	2	2	1	49	48	49	48a	189	1/4	3
1134	6	60	C	0	2	2	2	1	49	48	49	48a	189	1/4	4
1134	6	63	E	-1	2	2	2	1	49	48	49	48a	189	1/4	4
1134	6	68	A	-1	2	2	2	1	49	48	49	48a	189	1/4	4
1134	6	72	C	0	2	2	1	1	49	48	49	48a	189	1/4	5
1134	6	75	E	-1	2	2	1	1	49	48	49	48a	189	1/4	5
1134	6	80	A	-1	2	2	1	1	49	48	49	48a	189	1/4	5
1152	6	60	C	0	2	2	1	1	1	0	50	48a	192	1/4	4
1158	6	65	F	0	2	2	1	1	2	1	51	1b	193	1/4	4
1164	6	68	A	-1	2	2	1	1	2	1	51	1b	194	1/4	4
1170	6	72	C	0	2	2	1	1	2	1	51	1b	195	1/4	5
1176	6	77	F	0	2	2	1	1	2	1	51	1b	196	1/4	5
1182	9	80	A	-1	2	2	1	1	3	2	52	2b	197	3/8	5
1188	6	53	F	0	2	2	2	1	3	2	52	2b	198	1/4	3
1188	6	56	A	-1	2	2	2	1	3	2	52	2b	198	1/4	3
1188	6	60	C	0	2	2	2	1	3	2	52	2b	198	1/4	4
1191	1	79	G	0	2	2	1	1	3	2	52	2b	397/2	1/24	5
1192	1	77	F	0	2	2	1	1	3	2	52	2b	596/3	1/24	5
1193	1	76	E	0	2	2	1	1	3	2	52	2b	1193/6	1/24	5
1194	6	53	F	0	2	2	2	1	3	2	52	2b	199	1/4	3
1194	6	56	A	-1	2	2	2	1	3	2	52	2b	199	1/4	3
1194	6	60	C	0	2	2	2	1	3	2	52	2b	199	1/4	4
1194	6	77	F	0	2	2	1	1	3	2	52	2b	199	1/4	5
1200	6	53	F	0	2	2	2	1	3	2	52	2b	200	1/4	3
1200	6	56	A	-1	2	2	2	1	3	2	52	2b	200	1/4	3
1200	6	60	C	0	2	2	2	1	3	2	52	2b	200	1/4	4
1206	6	52	E	0	2	2	2	1	4	3	53	3b	201	1/4	3
1206	6	55	G	0	2	2	2	1	4	3	53	3b	201	1/4	3
1206	6	58	B	-1	2	2	2	1	4	3	53	3b	201	1/4	3
1206	6	60	C	0	2	2	2	1	4	3	53	3b	201	1/4	4
1206	6	67	G	0	2	2	1	1	4	3	53	3b	201	1/4	4
1212	6	72	C	0	2	2	1	1	4	3	53	3b	202	1/4	5
1218	6	76	E	0	2	2	1	1	4	3	53	3b	203	1/4	5
1224	6	79	G	0	2	2	1	1	4	3	53	3b	204	1/4	5
1230	9	82	B	-1	2	2	1	1	5	4	54	4b	205	3/8	5
1236	6	52	E	0	2	2	2	1	5	4	54	4b	206	1/4	3
1236	6	55	G	0	2	2	2	1	5	4	54	4b	206	1/4	3
1236	6	58	B	-1	2	2	2	1	5	4	54	4b	206	1/4	3
1236	6	60	C	0	2	2	2	1	5	4	54	4b	206	1/4	4
1239	1	80	A	-1	2	2	1	1	5	4	54	4b	413/2	1/24	5
1240	1	79	G	0	2	2	1	1	5	4	54	4b	620/3	1/24	5
1241	1	77	F	0	2	2	1	1	5	4	54	4b	1241/6	1/24	5
1242	6	52	E	0	2	2	2	1	5	4	54	4b	207	1/4	3
1242	6	55	G	0	2	2	2	1	5	4	54	4b	207	1/4	3
1242	6	58	B	-1	2	2	2	1	5	4	54	4b	207	1/4	3
1242	6	60	C	0	2	2	2	1	5	4	54	4b	207	1/4	4
1242	6	79	G	0	2	2	1	1	5	4	54	4b	207	1/4	5
1248	6	52	E	0	2	2	2	1	5	4	54	4b	208	1/4	3
1248	6	55	G	0	2	2	2	1	5	4	54	4b	208	1/4	3
1248	6	58	B	-1	2	2	2	1	5	4	54	4b	208	1/4	3
1248	6	60	C	0	2	2	2	1	5	4	54	4b	208	1/4	4
1254	0	72	C	0	2	2	1	1	6	5	55	5b	209	0	5
1254	9	80	A	-1	2	2	1	1	6	5	55	5b	209	3/8	5
1260	6	53	F	0	2	2	2	1	6	5	55	5b	210	1/4	3
1260	6	56	A	-1	2	2	2	1	6	5	55	5b	210	1/4	3
1260	6	60	C	0	2	2	2	1	6	5	55	5b	210	1/4	4
1263	1	79	G	0	2	2	1	1	6	5	55	5b	421/2	1/24	5
1264	1	77	F	0	2	2	1	1	6	5	55	5b	632/3	1/24	5
1265	1	76	E	0	2	2	1	1	6	5	55	5b	1265/6	1/24	5
1266	6	53	F	0	2	2	2	1	6	5	55	5b	211	1/4	3
1266	6	56	A	-1	2	2	2	1	6	5	55	5b	211	1/4	3
1266	6	60	C	0	2	2	2	1	6	5	55	5b	211	1/4	4
1266	6	77	F	0	2	2	1	1	6	5	55	5b	211	1/4	5
1272	6	53	F	0	2	2	2	1	6	5	55	5b	212	1/4	3
1272	6	56	A	-1	2	2	2	1	6	5	55	5b	212	1/4	3
1272	6	60	C	0	2	2	2	1	6	5	55	5b	212	1/4	4
1278	0	72	C	0	2	2	1	1	7	6	56	6b	213	0	5
1278	9	82	B	-1	2	2	1	1	7	6	56	6b	213	3/8	5
1284	6	55	G	0	2	2	2	1	7	6	56	6b	214	1/4	3
1284	6	58	B	-1	2	2	2	1	7	6	56	6b	214	1/4	3
1284	6	64	E	0	2	2	2	1	7	6	56	6b	214	1/4	4
1287	1	80	A	-1	2	2	1	1	7	6	56	6b	429/2	1/24	5
1288	1	79	G	0	2	2	1	1	7	6	56	6b	644/3	1/24	5
1289	1	77	F	0	2	2	1	1	7	6	56	6b	1289/6	1/24	5
1290	6	55	G	0	2	2	2	1	7	6	56	6b	215	1/4	3
1290	6	58	B	-1	2	2	2	1	7	6	56	6b	215	1/4	3
1290	6	64	E	0	2	2	2	1	7	6	56	6b	215	1/4	4
1290	6	79	G	0	2	2	1	1	7	6	56	6b	215	1/4	5
1296	6	55	G	0	2	2	2	1	7	6	56	6b	216	1/4	3
1296	6	58	B	-1	2	2	2	1	7	6	56	6b	216	1/4	3
1296	6	64	E	0	2	2	2	1	7	6	56	6b	216	1/4	4
1302	12	72	C	0	2	2	1	1	8	7	57	7b	217	1/2	5
1302	12	77	F	0	2	2	1	1	8	7	57	7b	217	1/2	5
1302	12	80	A	-1	2	2	1	1	8	7	57	7b	217	1/2	5
1302	12	84	C	0	2	2	1	1	8	7	57	7b	217	1/2	6
1308	6	56	A	-1	2	2	2	1	8	7	57	7b	218	1/4	3
1308	6	60	C	0	2	2	2	1	8	7	57	7b	218	1/4	4
1308	6	65	F	0	2	2	2	1	8	7	57	7b	218	1/4	4
1314	3	82	B	-1	2	2	1	1	8	7	57	7b	219	1/8	5
1317	3	80	A	-1	2	2	1	1	8	7	57	7b	439/2	1/8	5
1320	6	58	B	-1	2	2	2	1	8	7	57	7b	220	1/4	3
1320	6	61	D	-1	2	2	2	1	8	7	57	7b	220	1/4	4
1320	6	67	G	0	2	2	2	1	8	7	57	7b	220	1/4	4
1320	3	79	G	0	2	2	1	1	8	7	57	7b	220	1/8	5
1323	3	77	F	0	2	2	1	1	8	7	57	7b	441/2	1/8	5
1326	0	76	E	0	2	2	1	1	9	8	58	8b	221	0	5
1326	0	77	F	0	2	2	1	1	9	8	58	8b	221	0	5
1326	0	79	G	0	2	2	1	1	9	8	58	8b	221	0	5
1326	6	77	F	0	2	2	1	1	9	8	58	8b	221	1/4	5
1332	6	60	C	0	2	2	2	1	9	8	58	8b	222	1/4	4
1332	6	67	G	0	2	2	2	1	9	8	58	8b	222	1/4	4
1332	6	76	E	0	2	2	1	1	9	8	58	8b	222	1/4	5
1344	6	43	G	0	2	2	2	1	9	8	58	8b	224	1/4	2
1350	6	48	C	0	2	2	2	1	10	9	59	9b	225	1/4	3
1356	6	51	E	-1	2	2	2	1	10	9	59	9b	226	1/4	3
1362	6	55	G	0	2	2	2	1	10	9	59	9b	227	1/4	3
1368	6	60	C	0	2	2	2	1	10	9	59	9b	228	1/4	4
1374	9	63	E	-1	2	2	2	1	11	10	60	10b	229	3/8	4
1383	1	62	D	0	2	2	2	1	11	10	60	10b	461/2	1/24	4
1384	1	60	C	0	2	2	2	1	11	10	60	10b	692/3	1/24	4
1385	1	59	B	0	2	2	2	1	11	10	60	10b	1385/6	1/24	3
1386	6	60	C	0	2	2	2	1	11	10	60	10b	231	1/4	4
1392	6	60	C	0	2	2	2	1	11	10	60	10b	232	1/4	4
1398	24	60	C	0	2	2	2	1	12	11	61	11b	233	1	4
1398	24	65	F	0	2	2	2	1	12	11	61	11b	233	1	4
1398	24	68	A	-1	2	2	1	2	12	11	61	11b	233	1	4
1407	1	75	E	-1	2	2	1	1	12	11	61	11b	469/2	1/24	5
1408	1	73	D	-1	2	2	1	1	12	11	61	11b	704/3	1/24	5
1409	1	72	C	0	2	2	1	1	12	11	61	11b	1409/6	1/24	5
1410	6	73	D	-1	2	2	1	1	12	11	61	11b	235	1/4	5
1416	6	73	D	-1	2	2	1	1	12	11	61	11b	236	1/4	5
1422	24	58	B	-1	2	2	2	1	13	12	62	12b	237	1	3
1422	24	65	F	0	2	2	2	1	13	12	62	12b	237	1	4
1422	9	68	A	-1	2	2	1	2	13	12	62	12b	237	3/8	4
1422	24	73	D	-1	2	2	1	1	13	12	62	12b	237	1	5
1431	1	70	B	-1	2	2	1	2	13	12	62	12b	477/2	1/24	4
1432	1	68	A	-1	2	2	1	2	13	12	62	12b	716/3	1/24	4
1433	1	67	G	0	2	2	1	2	13	12	62	12b	1433/6	1/24	4
1434	6	68	A	-1	2	2	1	2	13	12	62	12b	239	1/4	4
1440	6	68	A	-1	2	2	1	2	13	12	62	12b	240	1/4	4
1446	24	58	B	-1	2	2	2	1	14	13	63	13b	241	1	3
1446	24	63	E	-1	2	2	2	1	14	13	63	13b	241	1	4
1446	24	67	G	0	2	2	1	2	14	13	63	13b	241	1	4
1446	9	73	D	-1	2	2	1	1	14	13	63	13b	241	3/8	5
1455	1	75	E	-1	2	2	1	1	14	13	63	13b	485/2	1/24	5
1456	1	73	D	-1	2	2	1	1	14	13	63	13b	728/3	1/24	5
1457	1	72	C	0	2	2	1	1	14	13	63	13b	1457/6	1/24	5
1458	6	73	D	-1	2	2	1	1	14	13	63	13b	243	1/4	5
1464	6	73	D	-1	2	2	1	1	14	13	63	13b	244	1/4	5
1470	24	56	A	-1	2	2	2	1	15	14	64	14b	245	1	3
1470	24	63	E	-1	2	2	2	1	15	14	64	14b	245	1	4
1470	24	68	A	-1	2	2	1	2	15	14	64	14b	245	1	4
1479	1	73	D	-1	2	2	1	1	15	14	64	14b	493/2	1/24	5
1480	1	72	C	0	2	2	1	1	15	14	64	14b	740/3	1/24	5
1481	1	71	B	0	2	2	1	1	15	14	64	14b	1481/6	1/24	4
1482	6	72	C	0	2	2	1	1	15	14	64	14b	247	1/4	5
1488	6	72	C	0	2	2	1	1	15	14	64	14b	248	1/4	5
1494	12	61	D	-1	2	2	2	1	16	15	65	15b	249	1/2	4
1494	24	65	F	0	2	2	1	2	16	15	65	15b	249	1	4
1494	6	72	C	0	2	2	1	1	16	15	65	15b	249	1/4	5
1500	12	70	B	-1	2	2	1	1	16	15	65	15b	250	1/2	4
1506	12	62	D	0	2	2	2	1	16	15	65	15b	251	1/2	4
1512	6	68	A	-1	2	2	1	1	16	15	65	15b	252	1/4	4
1518	6	63	E	-1	2	2	2	1	17	16	66	16b	253	1/4	4
1518	6	67	G	0	2	2	1	1	17	16	66	16b	253	1/4	4
1524	6	75	E	-1	2	2	1	1	17	16	66	16b	254	1/4	5
1530	6	73	D	-1	2	2	1	1	17	16	66	16b	255	1/4	5
1536	6	60	C	0	2	2	2	1	17	16	66	16b	256	1/4	4
1536	6	63	E	-1	2	2	2	1	17	16	66	16b	256	1/4	4
1536	6	72	C	0	2	2	1	1	17	16	66	16b	256	1/4	5
1542	12	61	D	-1	2	2	2	1	18	17	67	17b	257	1/2	4
1542	12	65	F	0	2	2	2	1	18	17	67	17b	257	1/2	4
1542	6	72	C	0	2	2	1	1	18	17	67	17b	257	1/4	5
1548	12	70	B	-1	2	2	1	1	18	17	67	17b	258	1/2	4
1554	12	62	D	0	2	2	2	1	18	17	67	17b	259	1/2	4
1554	12	65	F	0	2	2	2	1	18	17	67	17b	259	1/2	4
1560	6	68	A	-1	2	2	1	1	18	17	67	17b	260	1/4	4
1566	6	63	E	-1	2	2	2	1	19	18	68	18b	261	1/4	4
1566	6	67	G	0	2	2	1	1	19	18	68	18b	261	1/4	4
1572	6	63	E	-1	2	2	1	1	19	18	68	18b	262	1/4	4
1572	6	75	E	-1	2	2	1	1	19	18	68	18b	262	1/4	5
1578	6	61	D	-1	2	2	1	1	19	18	68	18b	263	1/4	4
1578	6	73	D	-1	2	2	1	1	19	18	68	18b	263	1/4	5
1584	6	48	C	0	2	2	2	1	19	18	68	18b	264	1/4	3
1584	6	51	E	-1	2	2	2	1	19	18	68	18b	264	1/4	3
1584	6	60	C	0	2	2	1	1	19	18	68	18b	264	1/4	4
1584	6	72	C	0	2	2	1	1	19	18	68	18b	264	1/4	5
1590	12	49	D	-1	2	2	2	1	20	19	69	19b	265	1/2	3
1590	12	53	F	0	2	2	2	1	20	19	69	19b	265	1/2	3
1590	6	60	C	0	2	2	1	1	20	19	69	19b	265	1/4	4
1590	6	72	C	0	2	2	1	1	20	19	69	19b	265	1/4	5
1596	12	58	B	-1	2	2	1	1	20	19	69	19b	266	1/2	3
1596	12	70	B	-1	2	2	1	1	20	19	69	19b	266	1/2	4
1602	12	50	D	0	2	2	2	1	20	19	69	19b	267	1/2	3
1602	12	53	F	0	2	2	2	1	20	19	69	19b	267	1/2	3
1608	6	56	A	-1	2	2	1	1	20	19	69	19b	268	1/4	3
1608	6	68	A	-1	2	2	1	1	20	19	69	19b	268	1/4	4
1614	3	51	E	-1	2	2	2	1	21	20	70	20b	269	1/8	3
1614	6	55	G	0	2	2	1	1	21	20	70	20b	269	1/4	3
1614	6	67	G	0	2	2	1	1	21	20	70	20b	269	1/4	4
1617	3	63	E	-1	2	2	2	1	21	20	70	20b	539/2	1/8	4
1620	3	51	E	-1	2	2	2	1	21	20	70	20b	270	1/8	3
1623	3	63	E	-1	2	2	2	1	21	20	70	20b	541/2	1/8	4
1626	3	51	E	-1	2	2	2	1	21	20	70	20b	271	1/8	3
1629	3	63	E	-1	2	2	2	1	21	20	70	20b	543/2	1/8	4
1632	3	51	E	-1	2	2	2	1	21	20	70	20b	272	1/8	3
1632	6	76	F	-1	2	2	1	1	21	20	70	20b	272	1/4	5
1635	3	63	E	-1	2	2	2	1	21	20	70	20b	545/2	1/8	4
1638	3	51	E	-1	2	2	2	1	22	21	71	21b	273	1/8	3
1638	6	75	E	-1	2	2	1	1	22	21	71	21b	273	1/4	5
1641	3	63	E	-1	2	2	2	1	22	21	71	21b	547/2	1/8	4
1644	3	51	E	-1	2	2	2	1	22	21	71	21b	274	1/8	3
1644	6	73	D	-1	2	2	1	1	22	21	71	21b	274	1/4	5
1647	3	63	E	-1	2	2	2	1	22	21	71	21b	549/2	1/8	4
1650	3	51	E	-1	2	2	2	1	22	21	71	21b	275	1/8	3
1650	6	70	B	-1	2	2	1	1	22	21	71	21b	275	1/4	4
1653	3	63	E	-1	2	2	2	1	22	21	71	21b	551/2	1/8	4
1656	3	51	E	-1	2	2	2	1	22	21	71	21b	276	1/8	3
1656	6	67	G	0	2	2	1	1	22	21	71	21b	276	1/4	4
1659	3	63	E	-1	2	2	2	1	22	21	71	21b	553/2	1/8	4
1662	6	51	E	-1	2	2	2	2	23	22	72	22b	277	1/4	3
1662	12	61	D	-1	2	2	2	1	23	22	72	22b	277	1/2	4
1662	9	64	F	-1	2	2	1	1	23	22	72	22b	277	3/8	4
1668	6	51	E	-1	2	2	2	2	23	22	72	22b	278	1/4	3
1671	3	63	E	-1	2	2	1	1	23	22	72	22b	557/2	1/8	4
1674	3	51	E	-1	2	2	2	2	23	22	72	22b	279	1/8	3
1674	6	60	C	0	2	2	2	1	23	22	72	22b	279	1/4	4
1674	6	68	A	-1	2	2	1	1	23	22	72	22b	279	1/4	4
1677	3	63	E	-1	2	2	2	2	23	22	72	22b	559/2	1/8	4
1680	3	51	E	-1	2	2	2	2	23	22	72	22b	280	1/8	3
1680	6	76	F	-1	2	2	1	1	23	22	72	22b	280	1/4	5
1683	3	63	E	-1	2	2	2	2	23	22	72	22b	561/2	1/8	4
1686	3	51	E	-1	2	2	2	1	24	23	73	23b	281	1/8	3
1686	6	75	E	-1	2	2	1	1	24	23	73	23b	281	1/4	5
1689	3	63	E	-1	2	2	2	1	24	23	73	23b	563/2	1/8	4
1692	3	51	E	-1	2	2	2	1	24	23	73	23b	282	1/8	3
1692	6	73	D	-1	2	2	1	1	24	23	73	23b	282	1/4	5
1695	3	63	E	-1	2	2	2	1	24	23	73	23b	565/2	1/8	4
1698	3	51	E	-1	2	2	2	1	24	23	73	23b	283	1/8	3
1698	6	70	B	-1	2	2	1	1	24	23	73	23b	283	1/4	4
1701	3	63	E	-1	2	2	2	1	24	23	73	23b	567/2	1/8	4
1704	3	51	E	-1	2	2	2	1	24	23	73	23b	284	1/8	3
1704	6	67	G	0	2	2	1	1	24	23	73	23b	284	1/4	4
1707	3	63	E	-1	2	2	2	1	24	23	73	23b	569/2	1/8	4
1710	6	51	E	-1	2	2	2	2	25	24	74	24b	285	1/4	3
1710	12	61	D	-1	2	2	2	1	25	24	74	24b	285	1/2	4
1710	9	64	F	-1	2	2	1	1	25	24	74	24b	285	3/8	4
1716	6	51	E	-1	2	2	2	2	25	24	74	24b	286	1/4	3
1719	3	63	E	-1	2	2	1	1	25	24	74	24b	573/2	1/8	4
1722	3	51	E	-1	2	2	2	2	25	24	74	24b	287	1/8	3
1722	6	60	C	0	2	2	2	1	25	24	74	24b	287	1/4	4
1722	6	68	A	-1	2	2	1	1	25	24	74	24b	287	1/4	4
1725	3	63	E	-1	2	2	2	2	25	24	74	24b	575/2	1/8	4
1728	3	51	E	-1	2	2	2	2	25	24	74	24b	288	1/8	3
1728	6	76	F	-1	2	2	1	1	25	24	74	24b	288	1/4	5
1731	3	63	E	-1	2	2	2	2	25	24	74	24b	577/2	1/8	4
1734	3	51	E	-1	2	2	2	1	26	25	75	25b	289	1/8	3
1734	6	75	E	-1	2	2	1	1	26	25	75	25b	289	1/4	5
1737	3	63	E	-1	2	2	2	1	26	25	75	25b	579/2	1/8	4
1740	3	51	E	-1	2	2	2	1	26	25	75	25b	290	1/8	3
1740	6	73	D	-1	2	2	1	1	26	25	75	25b	290	1/4	5
1743	3	63	E	-1	2	2	2	1	26	25	75	25b	581/2	1/8	4
1746	3	61	D	-1	2	2	2	1	26	25	75	25b	291	1/8	4
1746	6	70	B	-1	2	2	1	1	26	25	75	25b	291	1/4	4
1749	3	63	E	-1	2	2	2	1	26	25	75	25b	583/2	1/8	4
1752	3	61	D	-1	2	2	2	1	26	25	75	25b	292	1/8	4
1752	6	67	G	0	2	2	1	1	26	25	75	25b	292	1/4	4
1755	3	63	E	-1	2	2	2	1	26	25	75	25b	585/2	1/8	4
1758	3	60	C	0	2	2	2	1	27	26	76	26b	293	1/8	4
1761	3	63	E	-1	2	2	2	1	27	26	76	26b	587/2	1/8	4
1761	3	67	G	0	2	2	1	1	27	26	76	26b	587/2	1/8	4
1764	3	60	C	0	2	2	2	1	27	26	76	26b	294	1/8	4
1764	3	70	B	-1	2	2	1	1	27	26	76	26b	294	1/8	4
1767	3	63	E	-1	2	2	2	1	27	26	76	26b	589/2	1/8	4
